0,0
500,2
1000,5
1500,7
2000,11
2500,15
3000,24
3500,24
4000,29
4500,32
5000,36
5500,40
6000,48
6500,48
7000,47
7500,55
8000,65
8500,70
9000,61
9500,71
10000,69
10500,85
11000,83
11500,89
12000,85
12500,107
13000,93
13500,97
14000,100
14500,120
15000,129
15500,119
16000,121
16500,129
17000,125
17500,137
18000,174
18500,136
19000,143
19500,142
20000,149
20500,150
21000,160
21500,172
22000,174
22500,169
23000,189
23500,194
24000,207
24500,198
25000,197
25500,199
26000,211
26500,225
27000,222
27500,217
28000,217
28500,209
29000,257
29500,235
30000,236
30500,250
31000,261
31500,264
32000,253
32500,268
33000,267
33500,315
34000,284
34500,298
35000,298
35500,300
36000,319
36500,304
37000,286
37500,318
38000,298
38500,317
39000,326
39500,331
40000,333
40500,330
41000,465
41500,353
42000,419
42500,365
43000,361
43500,379
44000,366
44500,400
45000,393
45500,406
46000,426
46500,399
47000,415
47500,405
48000,387
48500,492
49000,425
49500,446
50000,412
